Country Name,Country Code,2020_CO2,2020_ForestArea
Suriname,SUR,4.285077,97.412115
Guyana,GUY,3.472771,93.550114
Micronesia,FSM,2.333274,92.028571
Gabon,GAB,0.323066,91.320681
Solomon Islands,SLB,8.802582,90.138264
Palau,PLW,2.725731,90.021739
Equatorial Guinea,GNQ,0,87.287701
American Samoa ,ASM,0.563252,85.65
Papua New Guinea,PNG,0.231839,79.176258
Liberia,LBR,6.570145,79.084718
