Country,GDP,Population,Continent,Life Expectancy
Oman,75909397659,4543399,Asia,74.757
Pakistan,3.00E+11,227196741,Asia,66.269
Panama,57086836900,4294396,North America,76.657
Peru,2.01E+11,33304756,South America,73.665
Philippines,3.62E+11,112190977,Asia,72.119
Papua New Guinea,23848445104,9749640,Oceania,65.787
Poland,5.99E+11,37899070,Europe,76.5
Puerto Rico,1.03E+11,3281557,North America,78.041
Portugal,2.29E+11,10297081,Europe,80.97560976
Paraguay,35432178068,6618695,South America,73.182
French Polynesia,5792545871,301920,Oceania,82.217
Qatar,1.44E+11,2760385,Asia,79.099
Romania,2.51E+11,19265250,Europe,74.25365854
Russia,1.49E+12,145245148,Europe,71.33878049
Rwanda,10174387614,13146362,Africa,66.774
Saudi Arabia,7.34E+11,35997107,Asia,76.239
Sudan,27034593750,44440486,Africa,65.614
Senegal,24530513038,16436120,Africa,68.006
Singapore,3.49E+11,5685807,Asia,83.54390244
El Salvador,24921190000,6292731,North America,71.061
Somalia,9204140383,16537016,Africa,55.967
Serbia,53356484591,6899126,Europe,74.47804878
Slovak Republic,1.07E+11,5458827,Europe,76.86585366
Slovenia,53734526854,2102419,Europe,80.53170732
Sweden,5.47E+11,10353442,Europe,82.35609756
Eswatini,3982236694,1180655,Africa,59.692
Syria,11155888304,20772595,Asia,72.14
Chad,10715396042,16644701,Africa,52.777
Togo,7400284168,8442580,Africa,61.035
Thailand,5.00E+11,71475664,Asia,79.274
Tajikistan,8133963551,9543207,Asia,67.994
Turkmenistan,45818000000,6250438,Asia,68.687
Timor-Leste,2162619200,1299995,Asia,68.475
Trinidad and Tobago,20807571314,1518147,North America,74.406
Tunisia,42491816476,12161723,Africa,75.292
Turkey,7.20E+11,83384680,Europe,75.85
Tanzania,66068737786,61704518,Africa,66.408
Uganda,37600368240,44404611,Africa,62.851
Ukraine,1.57E+11,44207754,Europe,71.18512195
Uruguay,53668636568,3429086,South America,78.43
United States of America,2.13E+13,331526933,North America,76.9804878
Uzbekistan,60224701297,34232050,Asia,70.331
St. Vincent and the Grenadines,869111111.1,104632,North America,72.126
Vietnam,3.47E+11,96648685,Asia,75.378
Kosovo,7717145218,1790133,Europe,76.567
South Africa,3.38E+11,58801927,Africa,65.252
Zambia,18137764931,18927715,Africa,62.38
Zimbabwe,21509698406,15669666,Africa,61.124
